Topic,"Response",TestVersion,TestId,TotalTime,UserName,"Prompt",PromptLevel,Ratingposition,FinalRating,Score,Rater1_Id,Rater2_Id,Rater3_Id,Rater4_Id,TypeOfInstruction,RelationshipToLanguage,DateOfExam
ACTIVITIES,"<p>nosotros no hacen muchos en el verano. Nos jugamos el basball y comemos muchos. No recuerdo mucho español porque no tengo opportunidades para practicar.</p>",A2,3747906,8,J4792039,"Your penpal in Spain wants to know what students do during the summer where you are.  Write an email to your penpal. Tell her what kinds of activities you or your classmates do during the summer where you live. Give as much information as possible. ",N,1,N3,N-MF,3768,,,,Traditional classroom,Unknown,2021-07-26
COMMUNITY_SERVICE,"<p>Nosotros no hacen los projectos de servicio^ y no tenemos muchos clubs.</p>",A2,3747906,8,J4792039,"Your Spanish club is preparing information to post on the club’s website for your sister school in Peru. The students in Peru want to know about service projects that students are doing.  Write a post for the website describing the volunteer or community service activities that you or your classmates are doing. Describe the activities with lots of details. Give as much information as you can. ",I,1,N3,I-NE,3768,,,,Traditional classroom,Unknown,2021-07-26
ENTERTAINMENT,"<p>Nosotros no le gustan los videos de gatos o perros^ no son muy amusantes. A mi me gusta los videos de game theory^ un youtuber.</p>",A2,3747906,8,J4792039,"Your penpal from Venezuela wrote you a letter about watching funny videos of cats on her phone. She wants to know what people like to watch where you live.  Write back to your penpal. Tell her about what people like to watch where you live. Give as much information about their viewing habits as possible. ",N,1,N3,N-MM,3768,,,,Traditional classroom,Unknown,2021-07-26
SCHOOL,"<p>Como es lima? Es muy caliente^ se lluve mucho? Los personas en lima^ ellos hablen la ingles y el español? Recuerda que a mi no sabe mucho de español ahora.</p>",A2,3747906,8,J4792039,"Your school is offering a study abroad trip to a school in Lima^ where your penpal lives. You decide to contact her to ask her some questions about her school before your visit.  Write an email to your friend telling her why you are writing.  Ask her many questions about her school in Lima. Find out as much information as you can about her school. ",I,1,N3,I-SE,3768,,,,Traditional classroom,Unknown,2021-07-26
TECHNOLOGY,"<p>Tengo un computador y un iphone^ pero no usa estes en español porque yo no recuerdo mucho español.</p>",A2,3747906,8,J4792039,"Your penpal is really interested in technology. He wants to know what kinds of technologies you and your classmates use at school and at home.  Write an email message to your penpal. Tell him how you and your friends use different kinds of technology at school and at home. Give as much information as possible. ",N,1,N3,N-MM,3768,,,,Traditional classroom,Unknown,2021-07-26
TECHNOLOGY,"<p>Un traicion que mi familia tiene es que mi padre cocina la |sourdough| pan en los domingos. Es muy delicioso.</p>",A2,3747906,8,J4792039,"Your penpal wrote to you because he wants to learn more about your culture. He wants to learn about the different customs and traditions where you are.  Write an email to your penpal. Describe an activity related to a national holiday^ a local event^ or a family tradition. Tell your penpal as much as you can about it.  ",I,1,N3,I-SE,3768,,,,Traditional classroom,Unknown,2021-07-26
ANIMALS,"<p>Buenos días Maria^ </p><p>Una mascota nueva es un idea bueno. Mi mascota favorita son los gatos perro yo recomiendo un perro porque los perros son divertidos y atléticos. Sin embargo^ perros necessitan hacer ejercicio y atención mucho en la día. Tambien^ los perros joven duermen en las horas raras. ¡Pero perros estan más adorable! </p><p>Me avisas que decides. </p><p>Mayukhi Saraf.</p>",A2,3747770,36,X4791829,"Your pen pal wants to get a new pet and has asked for your suggestions.   Write an email making a pet recommendation for your pen pal. Describe in this email why you like the pet you are recommending. Explain positive and negative aspects of having this particular animal as a pet.  ",I,1,I1,I-MM,4428,,,,Traditional classroom,Foreign Language,2021-07-26
CITY_TOWN,"<p>Bienvenido^ </p><p>Bloomington es un ciudad pequeño pero tiene muchas activades. Tiene un lago y muchas sitios para pescar y nadar. Tambien^ el ciudad tiene un vereda famosa. Se llama Constitution Trail. La vereda esta muy larga y el gente gustan caminar en la vareda. En el ciudad principal^ estan tiendas de ropa^ comida y el ciene grande. </p><p>Avísame si necesita ayuda.</p><p>Mayukhi Saraf</p>",A2,3747770,36,X4791829,"A teacher from Guadalajara will be visiting your school. He will be in town for only 3 days. He wants to visit interesting places in your town.   Write an email to the teacher^ including appropriate greeting and closing to your message. Provide information about things to do in different^ popular places in your town.  ",N,1,I1,,4428,,,,Traditional classroom,Foreign Language,2021-07-26
COMMUNICATION,"<p>¡Hola mi compañerno nuevo!<br></p><p>En nuestro escuela^ nosotros tengo presentaciones pocos y cortos. El presentación de nuestro clase la próxima semana es simple y no tiene puntos muchos. En clase^ estudiantes hacen presentaciones informativo y^ a veces^ divertido. Por ejemplo^ Marco hizo un presentación de lobos y un parque nacional. Fue muy interesante. Por el contrario^ la presentaciòn de Maria sobre la sirena fue muy comica. </p><p>No te preocupes mucho^</p><p>Mayukhi.</p>",A2,3747770,36,X4791829,"A new Spanish exchange student is nervous about giving his first oral presentation in class next week. He wants to know about student presentations  in your school.  Write him an email telling him about the different types of presentations students make in class and what they are like.",I,1,I1,I-MM,4428,,,,Traditional classroom,Foreign Language,2021-07-26
FAMILY,"",A2,3747770,36,X4791829,"An exchange student from Buenos Aires is going to be staying with your family for two weeks over the summer. He wants to know more about your family and your home.  Write a letter to the exchange student. Tell him about your family members and where you live. Give your family members’ names and ages^ and write a short description of them. Be sure to use an appropriate greeting and closing in your letter. ",N,1,I1,,4428,,,,Traditional classroom,Foreign Language,2021-07-26
